,qseqid,qspecies,sseqid,sspecies,dN,dS,dN/dS
104412,Gorai.013G082300.1,Grai,augustus_masked-SEQ_569-processed-gene-222.26-mRNA-1,kirkii,0.0107,0.076,0.1406
104415,Gorai.013G082300.1,Grai,augustus_masked-SEQ_130383-processed-gene-0.32-mRNA-1,kokia,0.0117,0.0843,0.1386
104416,augustus_masked-SEQ_130383-processed-gene-0.32-mRNA-1,kokia,augustus_masked-SEQ_569-processed-gene-222.26-mRNA-1,kirkii,0.0116,0.0182,0.6347
104421,Gorai.013G082400.1,Grai,maker-SEQ_569-augustus-gene-222.76-mRNA-1,kirkii,0.0065,0.0589,0.1097
104424,Gorai.013G082400.1,Grai,maker-SEQ_130383-augustus-gene-0.34-mRNA-1,kokia,0.0076,0.0583,0.1308
104425,maker-SEQ_130383-augustus-gene-0.34-mRNA-1,kokia,maker-SEQ_569-augustus-gene-222.76-mRNA-1,kirkii,0.0011,0.0357,0.0296
104430,Gorai.013G083000.1,Grai,maker-SEQ_569-augustus-gene-223.54-mRNA-1,kirkii,0.0264,0.1131,0.2333
104433,Gorai.013G083000.1,Grai,maker-SEQ_121013-augustus-gene-0.26-mRNA-1,kokia,0.0109,0.1642,0.0662
104434,maker-SEQ_121013-augustus-gene-0.26-mRNA-1,kokia,maker-SEQ_569-augustus-gene-223.54-mRNA-1,kirkii,0.0253,0.3067,0.0826
104439,Gorai.013G083200.1,Grai,maker-SEQ_569-augustus-gene-223.55-mRNA-1,kirkii,0.0028,0.0701,0.0402
104442,Gorai.013G083200.1,Grai,maker-SEQ_121013-augustus-gene-0.27-mRNA-1,kokia,0.0056,0.0589,0.0943
104443,maker-SEQ_121013-augustus-gene-0.27-mRNA-1,kokia,maker-SEQ_569-augustus-gene-223.55-mRNA-1,kirkii,0.0041,0.0163,0.2546
104448,Gorai.013G083300.1,Grai,maker-SEQ_569-augustus-gene-223.57-mRNA-1,kirkii,0.0064,0.053,0.1202
104451,Gorai.013G083300.1,Grai,maker-SEQ_121013-augustus-gene-0.30-mRNA-1,kokia,0.0074,0.0679,0.1089
104452,maker-SEQ_121013-augustus-gene-0.30-mRNA-1,kokia,maker-SEQ_569-augustus-gene-223.57-mRNA-1,kirkii,0.0028,0.0241,0.1144
104457,Gorai.013G083600.1,Grai,maker-SEQ_569-augustus-gene-223.58-mRNA-1,kirkii,0.0015,0.0632,0.024
104460,Gorai.013G083600.1,Grai,maker-SEQ_121013-augustus-gene-0.31-mRNA-1,kokia,0.0042,0.0722,0.0582
104461,maker-SEQ_121013-augustus-gene-0.31-mRNA-1,kokia,maker-SEQ_569-augustus-gene-223.58-mRNA-1,kirkii,0.0062,0.0352,0.1754
104466,Gorai.013G083800.1,Grai,maker-SEQ_569-augustus-gene-223.60-mRNA-1,kirkii,0.0163,0.0537,0.3025
104469,Gorai.013G083800.1,Grai,augustus_masked-SEQ_126454-processed-gene-0.13-mRNA-1,kokia,0.0163,0.0535,0.3042
104470,augustus_masked-SEQ_126454-processed-gene-0.13-mRNA-1,kokia,maker-SEQ_569-augustus-gene-223.60-mRNA-1,kirkii,0.0,0.0,0.5248
104475,Gorai.013G084200.1,Grai,maker-SEQ_569-augustus-gene-225.54-mRNA-1,kirkii,0.0095,0.0558,0.1708
104478,Gorai.013G084200.1,Grai,maker-SEQ_130281-augustus-gene-0.64-mRNA-1,kokia,0.0094,0.0683,0.1379
104479,maker-SEQ_130281-augustus-gene-0.64-mRNA-1,kokia,maker-SEQ_569-augustus-gene-225.54-mRNA-1,kirkii,0.0042,0.0321,0.1299
104484,Gorai.013G084300.1,Grai,maker-SEQ_569-augustus-gene-225.55-mRNA-1,kirkii,0.0,0.0345,0.001
104487,Gorai.013G084300.1,Grai,maker-SEQ_130281-augustus-gene-0.65-mRNA-1,kokia,0.0,0.0345,0.001
104488,maker-SEQ_130281-augustus-gene-0.65-mRNA-1,kokia,maker-SEQ_569-augustus-gene-225.55-mRNA-1,kirkii,0.0,0.0113,0.001
104493,Gorai.013G084700.1,Grai,maker-SEQ_569-augustus-gene-225.53-mRNA-1,kirkii,0.0033,0.0582,0.0565
104496,Gorai.013G084700.1,Grai,maker-SEQ_110851-augustus-gene-0.31-mRNA-1,kokia,0.0063,0.1164,0.0543
104497,maker-SEQ_110851-augustus-gene-0.31-mRNA-1,kokia,maker-SEQ_569-augustus-gene-225.53-mRNA-1,kirkii,0.0034,0.032,0.1061
104502,Gorai.013G085000.1,Grai,maker-SEQ_569-augustus-gene-226.70-mRNA-1,kirkii,0.0136,0.0399,0.3405
104505,Gorai.013G085000.1,Grai,augustus_masked-SEQ_110851-processed-gene-0.22-mRNA-1,kokia,0.0147,0.0375,0.3912
104506,augustus_masked-SEQ_110851-processed-gene-0.22-mRNA-1,kokia,maker-SEQ_569-augustus-gene-226.70-mRNA-1,kirkii,0.0058,0.0283,0.2064
104511,Gorai.013G085600.1,Grai,maker-SEQ_569-augustus-gene-196.76-mRNA-1,kirkii,0.0053,0.0592,0.0894
104514,Gorai.013G085600.1,Grai,maker-SEQ_116131-augustus-gene-0.7-mRNA-1,kokia,0.0035,0.0616,0.0574
104515,maker-SEQ_116131-augustus-gene-0.7-mRNA-1,kokia,maker-SEQ_569-augustus-gene-196.76-mRNA-1,kirkii,0.0016,0.0048,0.3391
104520,Gorai.013G085700.1,Grai,maker-SEQ_569-snap-gene-196.83-mRNA-1,kirkii,0.0083,0.078,0.1062
104523,Gorai.013G085700.1,Grai,augustus_masked-SEQ_116131-processed-gene-0.6-mRNA-1,kokia,0.0127,0.0807,0.1569
104524,augustus_masked-SEQ_116131-processed-gene-0.6-mRNA-1,kokia,maker-SEQ_569-snap-gene-196.83-mRNA-1,kirkii,0.0042,0.0397,0.105
104529,Gorai.013G085900.1,Grai,maker-SEQ_569-augustus-gene-195.76-mRNA-1,kirkii,0.0156,0.0539,0.2893
104532,Gorai.013G085900.1,Grai,genemark-SEQ_130112-processed-gene-0.18-mRNA-1,kokia,0.0153,0.0747,0.2051
104533,genemark-SEQ_130112-processed-gene-0.18-mRNA-1,kokia,maker-SEQ_569-augustus-gene-195.76-mRNA-1,kirkii,0.0047,0.0589,0.0804
104538,Gorai.013G086000.1,Grai,augustus_masked-SEQ_569-processed-gene-195.12-mRNA-1,kirkii,0.0044,0.0801,0.0548
104541,Gorai.013G086000.1,Grai,genemark-SEQ_130112-processed-gene-0.4-mRNA-1,kokia,0.0045,0.0692,0.0649
104542,augustus_masked-SEQ_569-processed-gene-195.12-mRNA-1,kirkii,genemark-SEQ_130112-processed-gene-0.4-mRNA-1,kokia,0.005,0.0478,0.1044
104547,Gorai.013G086300.1,Grai,maker-SEQ_569-snap-gene-195.78-mRNA-1,kirkii,0.0161,0.0492,0.3279
104550,Gorai.013G086300.1,Grai,augustus_masked-SEQ_130112-processed-gene-0.38-mRNA-1,kokia,0.0193,0.0798,0.2424
104551,augustus_masked-SEQ_130112-processed-gene-0.38-mRNA-1,kokia,maker-SEQ_569-snap-gene-195.78-mRNA-1,kirkii,0.0097,0.0377,0.2568
104556,Gorai.013G086400.1,Grai,maker-SEQ_569-augustus-gene-194.49-mRNA-1,kirkii,0.0034,0.0516,0.0662
104559,Gorai.013G086400.1,Grai,augustus_masked-SEQ_130112-processed-gene-0.41-mRNA-1,kokia,0.0022,0.0521,0.0415
104560,augustus_masked-SEQ_130112-processed-gene-0.41-mRNA-1,kokia,maker-SEQ_569-augustus-gene-194.49-mRNA-1,kirkii,0.0044,0.0344,0.1284
104565,Gorai.013G087200.1,Grai,maker-SEQ_569-snap-gene-193.84-mRNA-1,kirkii,0.0051,0.1251,0.0406
104568,Gorai.013G087200.1,Grai,genemark-SEQ_130112-processed-gene-2.1-mRNA-1,kokia,0.0077,0.1542,0.0497
104569,genemark-SEQ_130112-processed-gene-2.1-mRNA-1,kokia,maker-SEQ_569-snap-gene-193.84-mRNA-1,kirkii,0.01,0.0948,0.1052
104574,Gorai.013G087300.1,Grai,maker-SEQ_569-augustus-gene-193.72-mRNA-1,kirkii,0.0094,0.0812,0.1159
104577,Gorai.013G087300.1,Grai,maker-SEQ_130112-augustus-gene-2.38-mRNA-1,kokia,0.0141,0.0751,0.1885
104578,maker-SEQ_130112-augustus-gene-2.38-mRNA-1,kokia,maker-SEQ_569-augustus-gene-193.72-mRNA-1,kirkii,0.0091,0.06,0.1516
104583,Gorai.013G087700.1,Grai,augustus_masked-SEQ_569-processed-gene-193.12-mRNA-1,kirkii,0.0179,0.0784,0.228
104586,Gorai.013G087700.1,Grai,augustus_masked-SEQ_130112-processed-gene-2.23-mRNA-1,kokia,0.0146,0.0805,0.1815
104587,augustus_masked-SEQ_130112-processed-gene-2.23-mRNA-1,kokia,augustus_masked-SEQ_569-processed-gene-193.12-mRNA-1,kirkii,0.0221,0.0905,0.2437
104592,Gorai.013G087900.1,Grai,maker-SEQ_569-augustus-gene-192.71-mRNA-1,kirkii,0.0056,0.0852,0.0662
104595,Gorai.013G087900.1,Grai,maker-SEQ_130112-augustus-gene-2.40-mRNA-1,kokia,0.0067,0.0807,0.0827
104596,maker-SEQ_130112-augustus-gene-2.40-mRNA-1,kokia,maker-SEQ_569-augustus-gene-192.71-mRNA-1,kirkii,0.0053,0.0356,0.1481
104601,Gorai.013G088000.1,Grai,maker-SEQ_569-augustus-gene-192.72-mRNA-1,kirkii,0.0061,0.0662,0.0929
104604,Gorai.013G088000.1,Grai,genemark-SEQ_130112-processed-gene-2.9-mRNA-1,kokia,0.003,0.0549,0.0544
104605,genemark-SEQ_130112-processed-gene-2.9-mRNA-1,kokia,maker-SEQ_569-augustus-gene-192.72-mRNA-1,kirkii,0.0064,0.0357,0.1782
104610,Gorai.013G088200.1,Grai,maker-SEQ_569-augustus-gene-191.70-mRNA-1,kirkii,0.0031,0.0621,0.0495
104613,Gorai.013G088200.1,Grai,maker-SEQ_130112-augustus-gene-2.37-mRNA-1,kokia,0.0075,0.1046,0.0719
104614,maker-SEQ_130112-augustus-gene-2.37-mRNA-1,kokia,maker-SEQ_569-augustus-gene-191.70-mRNA-1,kirkii,0.0043,0.0413,0.103
104619,Gorai.013G088400.1,Grai,maker-SEQ_569-augustus-gene-190.87-mRNA-1,kirkii,0.0152,0.0688,0.2215
104622,Gorai.013G088400.1,Grai,maker-SEQ_117296-augustus-gene-0.44-mRNA-1,kokia,0.0175,0.1072,0.1629
104623,maker-SEQ_117296-augustus-gene-0.44-mRNA-1,kokia,maker-SEQ_569-augustus-gene-190.87-mRNA-1,kirkii,0.02,0.0559,0.3568
104628,Gorai.013G088700.1,Grai,maker-SEQ_569-snap-gene-190.93-mRNA-1,kirkii,0.0127,0.0942,0.1353
104631,Gorai.013G088700.1,Grai,augustus_masked-SEQ_117296-processed-gene-0.32-mRNA-1,kokia,0.0123,0.0882,0.1395
104632,augustus_masked-SEQ_117296-processed-gene-0.32-mRNA-1,kokia,maker-SEQ_569-snap-gene-190.93-mRNA-1,kirkii,0.005,0.0397,0.1269
104637,Gorai.013G089000.1,Grai,maker-SEQ_569-augustus-gene-190.85-mRNA-1,kirkii,0.0101,0.0459,0.2191
104640,Gorai.013G089000.1,Grai,maker-SEQ_117296-augustus-gene-0.41-mRNA-1,kokia,0.0429,0.2902,0.148
104641,maker-SEQ_117296-augustus-gene-0.41-mRNA-1,kokia,maker-SEQ_569-augustus-gene-190.85-mRNA-1,kirkii,0.0436,0.2219,0.1964
104646,Gorai.013G089300.1,Grai,maker-SEQ_569-augustus-gene-190.84-mRNA-1,kirkii,0.0066,0.0523,0.126
104649,Gorai.013G089300.1,Grai,genemark-SEQ_120424-processed-gene-0.7-mRNA-1,kokia,0.0116,0.0828,0.1402
104650,genemark-SEQ_120424-processed-gene-0.7-mRNA-1,kokia,maker-SEQ_569-augustus-gene-190.84-mRNA-1,kirkii,0.0074,0.0511,0.1441
104655,Gorai.013G090000.1,Grai,maker-SEQ_569-augustus-gene-189.67-mRNA-1,kirkii,0.0036,0.0775,0.0467
104658,Gorai.013G090000.1,Grai,maker-SEQ_126877-augustus-gene-0.36-mRNA-1,kokia,0.0029,0.0741,0.0394
104659,maker-SEQ_126877-augustus-gene-0.36-mRNA-1,kokia,maker-SEQ_569-augustus-gene-189.67-mRNA-1,kirkii,0.0071,0.0563,0.1268
104664,Gorai.013G090200.1,Grai,maker-SEQ_569-augustus-gene-189.66-mRNA-1,kirkii,0.0136,0.0638,0.2133
104667,Gorai.013G090200.1,Grai,maker-SEQ_126877-augustus-gene-0.37-mRNA-1,kokia,0.0151,0.0854,0.1764
104668,maker-SEQ_126877-augustus-gene-0.37-mRNA-1,kokia,maker-SEQ_569-augustus-gene-189.66-mRNA-1,kirkii,0.004,0.0234,0.1704
104673,Gorai.013G090300.1,Grai,maker-SEQ_569-augustus-gene-189.68-mRNA-1,kirkii,0.0101,0.083,0.1215
104676,Gorai.013G090300.1,Grai,maker-SEQ_126877-augustus-gene-0.35-mRNA-1,kokia,0.0104,0.2583,0.0404
104677,maker-SEQ_126877-augustus-gene-0.35-mRNA-1,kokia,maker-SEQ_569-augustus-gene-189.68-mRNA-1,kirkii,0.0205,0.1388,0.1474
104682,Gorai.013G090600.1,Grai,maker-SEQ_569-augustus-gene-188.53-mRNA-1,kirkii,0.0085,0.065,0.1306
104685,Gorai.013G090600.1,Grai,maker-SEQ_124291-augustus-gene-0.34-mRNA-1,kokia,0.0028,0.0754,0.0376
104686,maker-SEQ_124291-augustus-gene-0.34-mRNA-1,kokia,maker-SEQ_569-augustus-gene-188.53-mRNA-1,kirkii,0.0061,0.0523,0.1167
104691,Gorai.013G090700.1,Grai,maker-SEQ_569-augustus-gene-188.52-mRNA-1,kirkii,0.007,0.1125,0.0622
104694,Gorai.013G090700.1,Grai,maker-SEQ_124291-augustus-gene-0.35-mRNA-1,kokia,0.0105,0.1026,0.1021
104695,maker-SEQ_124291-augustus-gene-0.35-mRNA-1,kokia,maker-SEQ_569-augustus-gene-188.52-mRNA-1,kirkii,0.003,0.0225,0.1322
104700,Gorai.013G090900.1,Grai,maker-SEQ_569-snap-gene-187.67-mRNA-1,kirkii,0.0079,0.0641,0.1238
104703,Gorai.013G090900.1,Grai,maker-SEQ_124291-augustus-gene-0.33-mRNA-1,kokia,0.0134,0.0901,0.1489
104704,maker-SEQ_124291-augustus-gene-0.33-mRNA-1,kokia,maker-SEQ_569-snap-gene-187.67-mRNA-1,kirkii,0.0102,0.0789,0.1294
104709,Gorai.013G091200.1,Grai,maker-SEQ_569-augustus-gene-187.60-mRNA-1,kirkii,0.0095,0.0659,0.1447
104712,Gorai.013G091200.1,Grai,maker-SEQ_124291-augustus-gene-0.36-mRNA-1,kokia,0.0091,0.0864,0.1054
104713,maker-SEQ_124291-augustus-gene-0.36-mRNA-1,kokia,maker-SEQ_569-augustus-gene-187.60-mRNA-1,kirkii,0.0025,0.0896,0.0281
104718,Gorai.013G091600.1,Grai,genemark-SEQ_569-processed-gene-184.30-mRNA-1,kirkii,0.0038,0.0419,0.0904
104721,Gorai.013G091600.1,Grai,augustus_masked-SEQ_130300-processed-gene-6.21-mRNA-1,kokia,0.0058,0.0459,0.1259
104722,augustus_masked-SEQ_130300-processed-gene-6.21-mRNA-1,kokia,genemark-SEQ_569-processed-gene-184.30-mRNA-1,kirkii,0.002,0.0121,0.1645
104727,Gorai.013G091900.1,Grai,maker-SEQ_569-augustus-gene-184.80-mRNA-1,kirkii,0.01,0.0638,0.1565
104730,Gorai.013G091900.1,Grai,maker-SEQ_130300-augustus-gene-6.64-mRNA-1,kokia,0.0078,0.0699,0.112
104731,maker-SEQ_130300-augustus-gene-6.64-mRNA-1,kokia,maker-SEQ_569-augustus-gene-184.80-mRNA-1,kirkii,0.0041,0.0264,0.156
104736,Gorai.013G092000.1,Grai,maker-SEQ_569-snap-gene-185.59-mRNA-1,kirkii,0.0053,0.054,0.0975
104739,Gorai.013G092000.1,Grai,maker-SEQ_129065-augustus-gene-0.12-mRNA-1,kokia,0.01,0.0676,0.1485
104740,maker-SEQ_129065-augustus-gene-0.12-mRNA-1,kokia,maker-SEQ_569-snap-gene-185.59-mRNA-1,kirkii,0.0033,0.0162,0.2051
104745,Gorai.013G092500.1,Grai,genemark-SEQ_569-processed-gene-186.2-mRNA-1,kirkii,0.0146,0.0866,0.1682
104748,Gorai.013G092500.1,Grai,maker-SEQ_130036-augustus-gene-1.37-mRNA-1,kokia,0.0142,0.1092,0.1301
104749,genemark-SEQ_569-processed-gene-186.2-mRNA-1,kirkii,maker-SEQ_130036-augustus-gene-1.37-mRNA-1,kokia,0.0065,0.0645,0.1007
104754,Gorai.013G092900.1,Grai,augustus_masked-SEQ_569-processed-gene-186.18-mRNA-1,kirkii,0.0058,0.1395,0.0417
104757,Gorai.013G092900.1,Grai,maker-SEQ_130036-augustus-gene-1.41-mRNA-1,kokia,0.0056,0.1178,0.0479
104758,augustus_masked-SEQ_569-processed-gene-186.18-mRNA-1,kirkii,maker-SEQ_130036-augustus-gene-1.41-mRNA-1,kokia,0.0001,0.0643,0.001
104763,Gorai.013G093200.1,Grai,maker-SEQ_569-snap-gene-186.66-mRNA-1,kirkii,0.0068,0.0519,0.1317
104766,Gorai.013G093200.1,Grai,genemark-SEQ_130036-processed-gene-1.12-mRNA-1,kokia,0.0027,0.0566,0.0485
104767,genemark-SEQ_130036-processed-gene-1.12-mRNA-1,kokia,maker-SEQ_569-snap-gene-186.66-mRNA-1,kirkii,0.0039,0.0175,0.2215
104772,Gorai.013G093400.1,Grai,maker-SEQ_569-snap-gene-186.68-mRNA-1,kirkii,0.0019,0.0374,0.0504
104775,Gorai.013G093400.1,Grai,maker-SEQ_130036-augustus-gene-1.38-mRNA-1,kokia,0.0054,0.0614,0.0878
104776,maker-SEQ_130036-augustus-gene-1.38-mRNA-1,kokia,maker-SEQ_569-snap-gene-186.68-mRNA-1,kirkii,0.0034,0.0287,0.1191
104781,Gorai.013G093600.1,Grai,maker-SEQ_569-augustus-gene-186.57-mRNA-1,kirkii,0.0051,0.0916,0.0555
104784,Gorai.013G093600.1,Grai,maker-SEQ_130036-augustus-gene-0.39-mRNA-1,kokia,0.0223,0.0955,0.2338
104785,maker-SEQ_130036-augustus-gene-0.39-mRNA-1,kokia,maker-SEQ_569-augustus-gene-186.57-mRNA-1,kirkii,0.0217,0.0489,0.4435
104790,Gorai.013G093700.1,Grai,maker-SEQ_569-snap-gene-186.71-mRNA-1,kirkii,0.0116,0.072,0.1608
104793,Gorai.013G093700.1,Grai,maker-SEQ_130036-augustus-gene-0.38-mRNA-1,kokia,0.009,0.0851,0.1056
104794,maker-SEQ_130036-augustus-gene-0.38-mRNA-1,kokia,maker-SEQ_569-snap-gene-186.71-mRNA-1,kirkii,0.0016,0.0381,0.0431
104799,Gorai.013G093800.1,Grai,augustus_masked-SEQ_569-processed-gene-187.0-mRNA-1,kirkii,0.0089,0.0629,0.1408
104802,Gorai.013G093800.1,Grai,maker-SEQ_130036-augustus-gene-0.37-mRNA-1,kokia,0.0139,0.0749,0.1855
104803,augustus_masked-SEQ_569-processed-gene-187.0-mRNA-1,kirkii,maker-SEQ_130036-augustus-gene-0.37-mRNA-1,kokia,0.0098,0.0276,0.356
104808,Gorai.013G094000.1,Grai,maker-SEQ_569-snap-gene-169.88-mRNA-1,kirkii,0.0297,0.368,0.0808
104811,Gorai.013G094000.1,Grai,augustus_masked-SEQ_130036-processed-gene-0.29-mRNA-1,kokia,0.0174,0.1392,0.1247
104812,augustus_masked-SEQ_130036-processed-gene-0.29-mRNA-1,kokia,maker-SEQ_569-snap-gene-169.88-mRNA-1,kirkii,0.0032,0.271,0.0117
104817,Gorai.013G094200.1,Grai,genemark-SEQ_569-processed-gene-168.30-mRNA-1,kirkii,0.0045,0.0579,0.0776
104820,Gorai.013G094200.1,Grai,maker-SEQ_130372-augustus-gene-0.36-mRNA-1,kokia,0.0061,0.0532,0.115
104821,genemark-SEQ_569-processed-gene-168.30-mRNA-1,kirkii,maker-SEQ_130372-augustus-gene-0.36-mRNA-1,kokia,0.0014,0.0291,0.0483
104826,Gorai.013G094500.1,Grai,augustus_masked-SEQ_569-processed-gene-168.8-mRNA-1,kirkii,0.0117,0.0473,0.2469
104829,Gorai.013G094500.1,Grai,genemark-SEQ_130372-processed-gene-0.3-mRNA-1,kokia,0.0139,0.0483,0.2876
104830,augustus_masked-SEQ_569-processed-gene-168.8-mRNA-1,kirkii,genemark-SEQ_130372-processed-gene-0.3-mRNA-1,kokia,0.0084,0.0182,0.4618
104835,Gorai.013G094600.1,Grai,maker-SEQ_569-augustus-gene-168.54-mRNA-1,kirkii,0.0015,0.0529,0.0291
104838,Gorai.013G094600.1,Grai,maker-SEQ_130372-augustus-gene-0.38-mRNA-1,kokia,0.0031,0.0683,0.0455
104839,maker-SEQ_130372-augustus-gene-0.38-mRNA-1,kokia,maker-SEQ_569-augustus-gene-168.54-mRNA-1,kirkii,0.0046,0.0312,0.149
104844,Gorai.013G095100.1,Grai,maker-SEQ_569-augustus-gene-168.55-mRNA-1,kirkii,0.0093,0.1175,0.079
104847,Gorai.013G095100.1,Grai,maker-SEQ_128147-augustus-gene-0.65-mRNA-1,kokia,0.0123,0.0696,0.1762
104848,maker-SEQ_128147-augustus-gene-0.65-mRNA-1,kokia,maker-SEQ_569-augustus-gene-168.55-mRNA-1,kirkii,0.003,0.0528,0.0561
104853,Gorai.013G095400.1,Grai,maker-SEQ_569-augustus-gene-167.61-mRNA-1,kirkii,0.0082,0.0472,0.1747
104856,Gorai.013G095400.1,Grai,augustus_masked-SEQ_128147-processed-gene-0.47-mRNA-1,kokia,0.0211,0.1165,0.1814
104857,augustus_masked-SEQ_128147-processed-gene-0.47-mRNA-1,kokia,maker-SEQ_569-augustus-gene-167.61-mRNA-1,kirkii,0.0199,0.1459,0.1367
104862,Gorai.013G095700.1,Grai,maker-SEQ_569-snap-gene-167.64-mRNA-1,kirkii,0.0141,0.3824,0.0369
104865,Gorai.013G095700.1,Grai,maker-SEQ_128147-augustus-gene-0.71-mRNA-1,kokia,0.0087,0.0822,0.1059
104866,maker-SEQ_128147-augustus-gene-0.71-mRNA-1,kokia,maker-SEQ_569-snap-gene-167.64-mRNA-1,kirkii,0.0056,0.2052,0.0271
104871,Gorai.013G098000.1,Grai,maker-SEQ_569-augustus-gene-154.71-mRNA-1,kirkii,0.0072,0.0707,0.1021
104874,Gorai.013G098000.1,Grai,maker-SEQ_130277-augustus-gene-3.30-mRNA-1,kokia,0.0113,0.113,0.0999
104875,maker-SEQ_130277-augustus-gene-3.30-mRNA-1,kokia,maker-SEQ_569-augustus-gene-154.71-mRNA-1,kirkii,0.0039,0.0223,0.176
104880,Gorai.013G098100.1,Grai,maker-SEQ_569-augustus-gene-154.69-mRNA-1,kirkii,0.0049,0.0918,0.0536
104883,Gorai.013G098100.1,Grai,maker-SEQ_130277-augustus-gene-3.33-mRNA-1,kokia,0.0049,0.0946,0.0521
104884,maker-SEQ_130277-augustus-gene-3.33-mRNA-1,kokia,maker-SEQ_569-augustus-gene-154.69-mRNA-1,kirkii,0.0046,0.0578,0.0792
104889,Gorai.013G098400.1,Grai,maker-SEQ_569-augustus-gene-155.59-mRNA-1,kirkii,0.01,0.0619,0.1624
104892,Gorai.013G098400.1,Grai,maker-SEQ_125405-augustus-gene-0.17-mRNA-1,kokia,0.0112,0.0666,0.1685
104893,maker-SEQ_125405-augustus-gene-0.17-mRNA-1,kokia,maker-SEQ_569-augustus-gene-155.59-mRNA-1,kirkii,0.0057,0.0232,0.2479
104898,Gorai.013G098500.1,Grai,genemark-SEQ_569-processed-gene-155.14-mRNA-1,kirkii,0.0088,0.103,0.0856
104901,Gorai.013G098500.1,Grai,genemark-SEQ_125405-processed-gene-0.2-mRNA-1,kokia,0.0052,0.0699,0.0747
104902,genemark-SEQ_125405-processed-gene-0.2-mRNA-1,kokia,genemark-SEQ_569-processed-gene-155.14-mRNA-1,kirkii,0.0059,0.0692,0.0849
104907,Gorai.013G098800.1,Grai,augustus_masked-SEQ_569-processed-gene-155.7-mRNA-1,kirkii,0.0149,0.0858,0.1734
104910,Gorai.013G098800.1,Grai,maker-SEQ_128326-augustus-gene-0.57-mRNA-1,kokia,0.0123,0.0796,0.154
104911,augustus_masked-SEQ_569-processed-gene-155.7-mRNA-1,kirkii,maker-SEQ_128326-augustus-gene-0.57-mRNA-1,kokia,0.0058,0.0426,0.1357
104916,Gorai.013G100300.1,Grai,maker-SEQ_569-augustus-gene-160.59-mRNA-1,kirkii,0.0033,0.0916,0.0355
104919,Gorai.013G100300.1,Grai,maker-SEQ_122043-augustus-gene-1.49-mRNA-1,kokia,0.0105,0.0606,0.1735
104920,maker-SEQ_122043-augustus-gene-1.49-mRNA-1,kokia,maker-SEQ_569-augustus-gene-160.59-mRNA-1,kirkii,0.0067,0.0325,0.2051
104925,Gorai.013G100600.1,Grai,maker-SEQ_569-augustus-gene-160.60-mRNA-1,kirkii,0.0103,0.1019,0.1015
104928,Gorai.013G100600.1,Grai,genemark-SEQ_122043-processed-gene-1.11-mRNA-1,kokia,0.0117,0.1053,0.1112
104929,genemark-SEQ_122043-processed-gene-1.11-mRNA-1,kokia,maker-SEQ_569-augustus-gene-160.60-mRNA-1,kirkii,0.0045,0.0283,0.1573
104934,Gorai.013G100700.1,Grai,maker-SEQ_569-augustus-gene-160.61-mRNA-1,kirkii,0.0119,0.0696,0.1705
104937,Gorai.013G100700.1,Grai,maker-SEQ_122043-augustus-gene-1.47-mRNA-1,kokia,0.0165,0.0769,0.2152
104938,maker-SEQ_122043-augustus-gene-1.47-mRNA-1,kokia,maker-SEQ_569-augustus-gene-160.61-mRNA-1,kirkii,0.0084,0.0285,0.2952
104943,Gorai.013G101000.1,Grai,augustus_masked-SEQ_569-processed-gene-160.6-mRNA-1,kirkii,0.0109,0.0784,0.1395
104946,Gorai.013G101000.1,Grai,maker-SEQ_122043-augustus-gene-1.50-mRNA-1,kokia,0.0154,0.0906,0.1694
104947,augustus_masked-SEQ_569-processed-gene-160.6-mRNA-1,kirkii,maker-SEQ_122043-augustus-gene-1.50-mRNA-1,kokia,0.0085,0.0399,0.2139
104952,Gorai.013G102600.1,Grai,maker-SEQ_356-augustus-gene-251.46-mRNA-1,kirkii,0.0015,0.064,0.0237
104955,Gorai.013G102600.1,Grai,maker-SEQ_126536-augustus-gene-1.34-mRNA-1,kokia,0.003,0.0763,0.039
104956,maker-SEQ_126536-augustus-gene-1.34-mRNA-1,kokia,maker-SEQ_356-augustus-gene-251.46-mRNA-1,kirkii,0.0015,0.0438,0.0335
104961,Gorai.013G102700.1,Grai,maker-SEQ_356-augustus-gene-251.50-mRNA-1,kirkii,0.0011,0.064,0.0173
104964,Gorai.013G102700.1,Grai,maker-SEQ_126536-augustus-gene-1.33-mRNA-1,kokia,0.0044,0.0746,0.0585
104965,maker-SEQ_126536-augustus-gene-1.33-mRNA-1,kokia,maker-SEQ_356-augustus-gene-251.50-mRNA-1,kirkii,0.0051,0.0196,0.2609
104970,Gorai.013G103400.1,Grai,augustus_masked-SEQ_367-processed-gene-1.8-mRNA-1,kirkii,0.0083,0.0486,0.1716
104973,Gorai.013G103400.1,Grai,augustus_masked-SEQ_129941-processed-gene-10.37-mRNA-1,kokia,0.0075,0.055,0.1364
104974,augustus_masked-SEQ_129941-processed-gene-10.37-mRNA-1,kokia,augustus_masked-SEQ_367-processed-gene-1.8-mRNA-1,kirkii,0.0026,0.0267,0.0987
104979,Gorai.013G103500.1,Grai,genemark-SEQ_367-processed-gene-0.30-mRNA-1,kirkii,0.0192,0.0821,0.234
104982,Gorai.013G103500.1,Grai,genemark-SEQ_129941-processed-gene-10.8-mRNA-1,kokia,0.0262,0.1333,0.1968
