,qseqid,sseqid,dN,dS,dN/dS
11311,Thecc1EG037053t1,Gorai.004G291800.1,0.0118,0.457,0.0258
11312,Thecc1EG037054t1,Gorai.010G113200.1,0.0224,0.3599,0.0623
11313,Thecc1EG037055t1,Gorai.009G057000.1,0.0389,0.506,0.0769
11314,Thecc1EG037057t1,Gorai.009G057100.1,0.0292,0.4274,0.0684
11315,Thecc1EG037060t1,Gorai.010G113000.1,0.0295,0.4086,0.0722
11316,Thecc1EG037061t1,Gorai.010G112900.1,0.0421,0.608,0.0693
11317,Thecc1EG046913t1,Gorai.010G112800.1,0.0286,0.3633,0.0788
11318,Thecc1EG046914t1,Gorai.004G291700.1,0.0441,0.4028,0.1096
11319,Thecc1EG037065t1,Gorai.009G055600.1,0.0193,0.4682,0.0413
11320,Thecc1EG037066t1,Gorai.013G216300.1,0.0265,0.3322,0.0799
11321,Thecc1EG037068t1,Gorai.010G112600.1,0.0349,0.4554,0.0767
11322,Thecc1EG037069t1,Gorai.009G055500.1,0.0367,0.4043,0.0907
11323,Thecc1EG037071t1,Gorai.010G112400.1,0.0227,0.9553,0.0238
11324,Thecc1EG037076t1,Gorai.009G055300.1,0.0377,0.3883,0.0972
11325,Thecc1EG037077t1,Gorai.009G055200.1,0.0213,0.5573,0.0383
11326,Thecc1EG037082t1,Gorai.013G217000.1,0.0346,0.5072,0.0682
11327,Thecc1EG037085t1,Gorai.009G054900.1,0.0118,0.2381,0.0495
11328,Thecc1EG037086t1,Gorai.001G031400.1,0.0377,0.3198,0.1179
11329,Thecc1EG037087t1,Gorai.011G037200.1,0.0121,0.5311,0.0227
11330,Thecc1EG037088t1,Gorai.001G031300.1,0.0486,0.2613,0.1859
11331,Thecc1EG037090t1,Gorai.009G054700.1,0.0985,0.9406,0.1047
11332,Thecc1EG037091t1,Gorai.004G291400.1,0.009,0.3009,0.03
11333,Thecc1EG037095t1,Gorai.001G030800.1,0.0256,0.2987,0.0858
11334,Thecc1EG037096t1,Gorai.004G291300.1,0.0202,0.447,0.0452
11335,Thecc1EG037097t1,Gorai.004G291200.1,0.0267,0.4729,0.0565
11336,Thecc1EG037098t1,Gorai.009G054200.1,0.0303,0.4246,0.0713
11337,Thecc1EG037099t1,Gorai.009G054100.1,0.0238,0.4768,0.0499
11338,Thecc1EG037100t1,Gorai.009G054000.1,0.0213,0.4056,0.0526
11339,Thecc1EG037102t1,Gorai.001G030400.1,0.0366,0.7569,0.0484
11340,Thecc1EG037107t1,Gorai.013G217600.1,0.0474,0.5859,0.0809
11341,Thecc1EG037109t1,Gorai.009G053900.1,0.0418,0.4855,0.0861
11343,Thecc1EG037111t1,Gorai.001G030000.1,0.0592,0.7206,0.0821
11344,Thecc1EG037112t1,Gorai.013G217700.1,0.0413,0.732,0.0565
11345,Thecc1EG047085t1,Gorai.009G053500.1,0.0239,0.3877,0.0616
11346,Thecc1EG047086t1,Gorai.010G111300.1,0.0462,0.5127,0.0901
11347,Thecc1EG047087t1,Gorai.013G218000.1,0.0371,0.3787,0.0981
11348,Thecc1EG047088t1,Gorai.013G218100.1,0.0159,0.3425,0.0464
11349,Thecc1EG037118t1,Gorai.009G053300.1,0.0364,0.3602,0.1011
11350,Thecc1EG037119t1,Gorai.009G053200.1,0.0439,0.3984,0.1103
11351,Thecc1EG037120t1,Gorai.010G110900.1,0.0385,0.4508,0.0854
11352,Thecc1EG037121t1,Gorai.001G029800.1,0.0273,0.296,0.0924
11353,Thecc1EG037124t1,Gorai.001G029500.1,0.0712,0.3552,0.2004
11354,Thecc1EG037125t1,Gorai.013G218200.1,0.0456,0.3854,0.1184
11355,Thecc1EG037126t1,Gorai.009G053000.1,0.0207,0.2989,0.0693
11356,Thecc1EG037128t1,Gorai.001G029200.1,0.0315,0.4757,0.0662
11357,Thecc1EG037129t1,Gorai.009G052800.1,0.0136,0.2581,0.0525
11358,Thecc1EG037130t1,Gorai.013G218300.1,0.028,0.2761,0.1013
11359,Thecc1EG037132t1,Gorai.009G052500.1,0.0261,0.4199,0.0622
11360,Thecc1EG037134t1,Gorai.013G218600.1,0.0335,0.3337,0.1004
11361,Thecc1EG037137t1,Gorai.009G052000.1,0.0241,0.3158,0.0763
11362,Thecc1EG037141t1,Gorai.010G109600.1,0.0296,0.6724,0.044
11363,Thecc1EG046915t1,Gorai.004G290900.1,0.0219,0.3736,0.0586
11364,Thecc1EG046916t1,Gorai.010G109700.1,0.0556,0.7926,0.0701
11365,Thecc1EG037144t1,Gorai.004G290700.1,0.0348,0.5406,0.0645
11366,Thecc1EG037145t1,Gorai.009G051800.1,0.0269,0.3423,0.0786
11367,Thecc1EG037147t1,Gorai.009G051700.1,0.0325,0.311,0.1043
11368,Thecc1EG047089t1,Gorai.001G028400.1,0.0424,0.4689,0.0905
11369,Thecc1EG047091t1,Gorai.009G051000.1,0.0422,0.3768,0.1121
11370,Thecc1EG037153t1,Gorai.001G028000.1,0.0366,0.4334,0.0844
11371,Thecc1EG037154t1,Gorai.010G110200.1,0.0067,0.4053,0.0166
11372,Thecc1EG037155t1,Gorai.010G110300.1,0.0221,0.3208,0.0688
11373,Thecc1EG037156t1,Gorai.010G108900.1,0.0493,0.3795,0.1298
11374,Thecc1EG037157t1,Gorai.001G027900.1,0.0288,0.3203,0.0899
11375,Thecc1EG037162t1,Gorai.010G108300.1,0.0343,0.5101,0.0673
11376,Thecc1EG037165t1,Gorai.001G027500.1,0.0412,0.6615,0.0622
11377,Thecc1EG037167t1,Gorai.010G108200.1,0.0283,0.3008,0.094
11378,Thecc1EG037168t1,Gorai.009G051500.1,0.0392,0.3243,0.1209
11379,Thecc1EG037169t1,Gorai.009G051600.1,0.1663,0.5774,0.288
11380,Thecc1EG037170t1,Gorai.009G050600.1,0.0244,0.3341,0.0731
11381,Thecc1EG037174t1,Gorai.004G290100.1,0.0698,0.5836,0.1196
11382,Thecc1EG037175t1,Gorai.004G290000.1,0.0098,0.2874,0.034
11383,Thecc1EG037177t1,Gorai.009G050400.1,0.0368,0.5481,0.0672
11384,Thecc1EG037180t1,Gorai.010G107900.1,0.0296,0.5806,0.0509
11385,Thecc1EG037181t1,Gorai.010G107800.1,0.0298,0.953,0.0313
11386,Thecc1EG037184t1,Gorai.010G107700.1,0.0495,0.5703,0.0868
11387,Thecc1EG037188t1,Gorai.013G218900.1,0.0361,0.292,0.1235
11388,Thecc1EG037194t1,Gorai.009G050200.1,0.0467,0.5403,0.0865
11389,Thecc1EG037195t1,Gorai.001G027000.1,0.0298,0.5289,0.0564
11390,Thecc1EG037196t1,Gorai.009G049900.1,0.0159,0.4015,0.0396
11391,Thecc1EG037197t1,Gorai.009G049800.1,0.0507,0.4835,0.1048
11392,Thecc1EG037198t1,Gorai.009G049700.1,0.0176,0.3457,0.0509
11393,Thecc1EG037199t1,Gorai.010G106300.1,0.0247,0.3309,0.0747
11394,Thecc1EG037200t1,Gorai.001G026900.1,0.0329,0.4058,0.0811
11395,Thecc1EG037201t1,Gorai.010G106200.1,0.0376,0.832,0.0452
11396,Thecc1EG037202t1,Gorai.009G049500.1,0.0261,0.2731,0.0955
11397,Thecc1EG037206t1,Gorai.009G049200.1,0.0348,0.4162,0.0836
11398,Thecc1EG037207t1,Gorai.009G049100.1,0.0107,0.2604,0.0409
11399,Thecc1EG037208t1,Gorai.009G049000.1,0.0441,0.4625,0.0953
11400,Thecc1EG037209t1,Gorai.010G105800.1,0.0715,1.149,0.0622
11401,Thecc1EG037212t1,Gorai.009G048900.1,0.027,0.3468,0.0778
11402,Thecc1EG037215t1,Gorai.010G105500.1,0.0164,0.6373,0.0257
11403,Thecc1EG037217t1,Gorai.013G219500.1,0.0068,0.3281,0.0207
11404,Thecc1EG037218t1,Gorai.009G048700.1,0.0445,0.4215,0.1057
11405,Thecc1EG037219t1,Gorai.001G026200.1,0.0157,0.4315,0.0363
11406,Thecc1EG037220t1,Gorai.001G026100.1,0.0422,0.3701,0.1141
11407,Thecc1EG037221t1,Gorai.010G105000.1,0.0216,0.2581,0.0838
11408,Thecc1EG037224t1,Gorai.009G048400.1,0.0431,0.4474,0.0964
11409,Thecc1EG037228t1,Gorai.009G048200.1,0.047,0.4682,0.1004
11410,Thecc1EG037229t1,Gorai.001G025900.1,0.0262,0.3774,0.0694
11411,Thecc1EG037230t1,Gorai.010G104100.1,0.0384,0.3405,0.1128
11412,Thecc1EG037235t1,Gorai.010G103900.1,0.016,0.3551,0.045
11413,Thecc1EG037236t1,Gorai.009G047900.1,0.0078,0.4032,0.0194
11414,Thecc1EG037239t1,Gorai.001G024600.1,0.0305,0.3336,0.0915
11415,Thecc1EG037238t1,Gorai.001G024700.1,0.048,0.5906,0.0812
11416,Thecc1EG037240t1,Gorai.001G024500.1,0.0543,0.3987,0.1363
11417,Thecc1EG037242t1,Gorai.010G103500.1,0.0604,0.5907,0.1022
11418,Thecc1EG037243t1,Gorai.009G047600.1,0.0259,0.3604,0.0718
11419,Thecc1EG037245t1,Gorai.001G024300.1,0.054,0.5486,0.0985
11420,Thecc1EG037247t1,Gorai.009G047500.1,0.0312,0.37,0.0844
11421,Thecc1EG037248t1,Gorai.009G047400.1,0.0327,0.4148,0.0788
11422,Thecc1EG037250t1,Gorai.004G287700.1,0.0486,0.8863,0.0549
11423,Thecc1EG037252t1,Gorai.009G047200.1,0.038,0.4948,0.0769
11424,Thecc1EG037254t1,Gorai.001G023800.1,0.0302,0.3786,0.0798
11425,Thecc1EG037257t1,Gorai.010G103000.1,0.0299,0.3677,0.0813
11426,Thecc1EG037258t1,Gorai.001G023600.1,0.0463,0.6241,0.0742
11427,Thecc1EG037259t1,Gorai.009G046600.1,0.0376,0.419,0.0897
11428,Thecc1EG037260t1,Gorai.009G046500.1,0.0182,0.3226,0.0565
11429,Thecc1EG037261t1,Gorai.010G102800.1,0.009,0.3943,0.0228
11430,Thecc1EG037262t1,Gorai.009G046400.1,0.0183,0.3865,0.0473
11431,Thecc1EG037263t1,Gorai.010G102500.1,0.082,2.731,0.03
11432,Thecc1EG037265t1,Gorai.004G287500.1,0.032,0.5888,0.0543
11433,Thecc1EG037268t1,Gorai.010G102100.1,0.0208,0.3657,0.0569
11434,Thecc1EG037270t1,Gorai.001G023300.1,0.0194,0.3275,0.0592
11435,Thecc1EG037271t1,Gorai.009G045900.1,0.0495,0.36,0.1374
11436,Thecc1EG037274t1,Gorai.001G023100.1,0.0411,0.4652,0.0884
11437,Thecc1EG037277t1,Gorai.010G101600.1,0.0132,0.3161,0.0418
11438,Thecc1EG037278t1,Gorai.013G220000.1,0.0466,0.5258,0.0886
11439,Thecc1EG037279t1,Gorai.010G101400.1,0.0619,0.6491,0.0954
11440,Thecc1EG037280t1,Gorai.009G045400.1,0.048,0.4211,0.1139
11441,Thecc1EG037281t1,Gorai.004G287200.1,0.0523,0.8729,0.0599
11442,Thecc1EG037282t1,Gorai.009G045300.1,0.0321,0.28,0.1145
11443,Thecc1EG037283t1,Gorai.001G022800.1,0.0272,0.2944,0.0924
11444,Thecc1EG037284t1,Gorai.010G101200.1,0.014,0.3913,0.0358
11445,Thecc1EG037285t1,Gorai.009G045000.1,0.0638,0.5206,0.1226
11446,Thecc1EG037286t1,Gorai.009G044900.1,0.0373,0.7828,0.0477
11447,Thecc1EG037287t1,Gorai.010G100900.1,0.0238,0.3568,0.0668
11448,Thecc1EG037288t1,Gorai.010G100600.1,0.0248,0.4267,0.0581
11449,Thecc1EG037289t1,Gorai.010G100300.1,0.0561,0.804,0.0698
11450,Thecc1EG037290t1,Gorai.010G100200.1,0.024,0.3286,0.073
11451,Thecc1EG037291t1,Gorai.009G044700.1,0.039,0.5916,0.0659
11452,Thecc1EG037292t1,Gorai.010G100000.1,0.0435,0.5565,0.0781
11453,Thecc1EG037294t1,Gorai.009G044600.1,0.0366,0.4668,0.0783
11454,Thecc1EG037296t1,Gorai.009G044500.1,0.0252,0.328,0.0768
11455,Thecc1EG037297t1,Gorai.009G044400.1,0.0484,0.433,0.1118
11456,Thecc1EG037298t1,Gorai.001G022200.1,0.0383,0.493,0.0777
11457,Thecc1EG037300t1,Gorai.010G099600.1,0.0338,0.4331,0.078
11458,Thecc1EG037301t1,Gorai.013G220200.1,0.0473,0.5365,0.0882
11459,Thecc1EG037305t1,Gorai.010G099200.1,0.0241,0.3562,0.0677
11460,Thecc1EG037306t1,Gorai.009G044100.1,0.0064,0.5571,0.0114
11461,Thecc1EG037308t1,Gorai.013G220400.1,0.0508,0.8662,0.0587
11462,Thecc1EG037310t1,Gorai.009G044000.1,0.0269,0.4766,0.0565
11463,Thecc1EG037311t1,Gorai.001G022300.1,0.0416,0.547,0.0761
11464,Thecc1EG037312t1,Gorai.009G043900.1,0.0335,0.325,0.1031
11465,Thecc1EG037313t1,Gorai.009G043800.1,0.0379,0.3218,0.1179
11466,Thecc1EG037314t1,Gorai.009G043700.1,0.0965,0.7401,0.1304
11467,Thecc1EG037322t1,Gorai.010G098400.1,0.0319,0.3406,0.0937
11468,Thecc1EG037323t1,Gorai.004G286500.1,0.014,0.405,0.0346
11469,Thecc1EG037325t1,Gorai.009G042900.1,0.0281,0.452,0.0622
11470,Thecc1EG037327t1,Gorai.009G042800.1,0.0451,0.3898,0.1156
11471,Thecc1EG037328t1,Gorai.010G098200.1,0.0255,0.383,0.0665
11472,Thecc1EG037330t1,Gorai.004G286400.1,0.0667,0.8079,0.0826
11473,Thecc1EG037331t1,Gorai.009G042700.1,0.0154,0.2599,0.0591
11474,Thecc1EG037332t1,Gorai.009G042600.1,0.0296,0.3388,0.0873
11475,Thecc1EG037334t1,Gorai.013G220700.1,0.0561,0.5283,0.1061
11476,Thecc1EG037335t1,Gorai.001G021800.1,0.0232,0.3455,0.0671
11477,Thecc1EG037337t1,Gorai.001G021700.1,0.0308,0.4771,0.0645
11478,Thecc1EG037339t1,Gorai.009G042400.1,0.0159,0.3405,0.0466
11479,Thecc1EG037341t1,Gorai.010G098100.1,0.0558,0.4569,0.1221
11480,Thecc1EG037344t1,Gorai.009G042200.1,0.0344,0.3801,0.0906
11481,Thecc1EG037351t1,Gorai.010G097600.1,0.0231,0.3908,0.0592
11482,Thecc1EG037353t1,Gorai.001G021200.1,0.0692,0.6124,0.1129
11483,Thecc1EG037357t1,Gorai.010G097400.1,0.0572,0.8322,0.0688
11484,Thecc1EG037363t1,Gorai.009G041500.1,0.0337,0.5089,0.0663
11485,Thecc1EG037365t1,Gorai.009G041400.1,0.0736,0.4792,0.1535
11486,Thecc1EG037366t1,Gorai.009G041300.1,0.0464,0.4279,0.1085
11487,Thecc1EG037368t1,Gorai.010G097100.1,0.0167,0.5305,0.0316
11488,Thecc1EG037371t1,Gorai.001G020700.1,0.0225,0.3944,0.0571
11489,Thecc1EG037372t1,Gorai.009G041100.1,0.0338,0.6017,0.0561
11490,Thecc1EG037373t1,Gorai.010G097000.1,0.0454,0.5461,0.0832
11491,Thecc1EG037381t1,Gorai.001G020300.1,0.0419,0.4769,0.0878
11492,Thecc1EG037384t1,Gorai.013G221000.1,0.0348,0.4626,0.0752
11493,Thecc1EG037385t1,Gorai.001G020200.1,0.0212,0.4123,0.0513
11494,Thecc1EG037386t1,Gorai.001G020100.1,0.0468,0.5841,0.0802
11495,Thecc1EG037387t1,Gorai.009G040600.1,0.0391,0.4313,0.0907
11496,Thecc1EG037388t1,Gorai.001G020000.1,0.0546,0.5487,0.0995
11497,Thecc1EG037389t1,Gorai.009G040500.1,0.0434,0.4861,0.0893
11498,Thecc1EG037390t1,Gorai.001G019900.1,0.0485,0.4229,0.1146
11499,Thecc1EG037391t1,Gorai.010G096400.1,0.0202,0.3268,0.0618
11500,Thecc1EG037393t1,Gorai.001G019800.1,0.0208,0.4162,0.05
11501,Thecc1EG037396t1,Gorai.009G040400.1,0.016,0.3575,0.0449
11502,Thecc1EG037398t1,Gorai.001G019700.1,0.046,1.0654,0.0432
11503,Thecc1EG037400t1,Gorai.010G092700.1,0.0643,0.4945,0.13
11504,Thecc1EG037401t1,Gorai.010G092800.1,0.0249,0.3935,0.0634
11505,Thecc1EG037402t1,Gorai.009G040200.1,0.0106,0.364,0.0292
11506,Thecc1EG037404t1,Gorai.010G092900.1,0.0502,0.5327,0.0943
11507,Thecc1EG037406t1,Gorai.010G093000.1,0.0372,0.5522,0.0674
11508,Thecc1EG037407t1,Gorai.001G019400.1,0.0396,0.6984,0.0567
11509,Thecc1EG037408t1,Gorai.013G221200.1,0.036,1.1061,0.0325
11510,Thecc1EG037409t1,Gorai.009G039900.1,0.0245,0.344,0.0713
11511,Thecc1EG037410t1,Gorai.010G093100.1,0.0365,0.331,0.1101
11512,Thecc1EG037411t1,Gorai.001G019200.1,0.0376,0.449,0.0838
11513,Thecc1EG037413t1,Gorai.010G093200.1,0.0431,0.3145,0.1372
11514,Thecc1EG037414t1,Gorai.010G093400.1,0.0509,0.3832,0.1327
11515,Thecc1EG037415t1,Gorai.001G019100.1,0.0474,0.8777,0.054
11516,Thecc1EG037418t1,Gorai.010G093700.1,0.0332,0.3648,0.0909
11517,Thecc1EG037419t1,Gorai.013G221500.1,0.0149,1.1766,0.0127
11518,Thecc1EG037420t1,Gorai.010G094000.1,0.0246,0.5518,0.0446
11519,Thecc1EG037421t1,Gorai.009G039700.1,0.0339,0.482,0.0703
11520,Thecc1EG037424t1,Gorai.010G094200.1,0.0244,0.4888,0.0499
11521,Thecc1EG037425t1,Gorai.010G094300.1,0.0384,0.3282,0.1171
11522,Thecc1EG037426t1,Gorai.010G094400.1,0.015,0.3773,0.0399
11523,Thecc1EG037427t1,Gorai.009G039600.1,0.0346,0.4373,0.0791
11524,Thecc1EG037428t1,Gorai.001G018900.1,0.0395,0.3673,0.1076
11525,Thecc1EG037429t1,Gorai.009G039500.1,0.032,0.3064,0.1043
11526,Thecc1EG037430t1,Gorai.004G285800.1,0.0324,0.247,0.1313
11527,Thecc1EG037432t1,Gorai.009G039400.1,0.0215,0.4449,0.0483
11528,Thecc1EG037433t1,Gorai.001G018700.1,0.0174,0.3148,0.0553
11529,Thecc1EG037435t1,Gorai.009G039200.1,0.0485,0.3585,0.1352
11530,Thecc1EG037436t1,Gorai.010G094500.1,0.0589,0.6314,0.0933
11531,Thecc1EG037437t1,Gorai.010G094600.1,0.0384,0.4969,0.0773
11532,Thecc1EG037438t1,Gorai.010G094700.1,0.0348,0.532,0.0654
11533,Thecc1EG037441t1,Gorai.009G039100.1,0.0314,0.4714,0.0666
11534,Thecc1EG037443t1,Gorai.001G018300.1,0.0414,0.746,0.0554
11535,Thecc1EG037444t1,Gorai.010G095000.1,0.051,0.6075,0.084
11536,Thecc1EG037445t1,Gorai.009G039000.1,0.0788,0.849,0.0928
11537,Thecc1EG037446t1,Gorai.009G038900.1,0.0472,0.5217,0.0905
11538,Thecc1EG037448t1,Gorai.001G018200.1,0.0391,0.7182,0.0545
11539,Thecc1EG037449t1,Gorai.010G095300.1,0.0068,0.423,0.016
11540,Thecc1EG037450t1,Gorai.010G095200.1,0.0201,0.2774,0.0725
11541,Thecc1EG037451t1,Gorai.001G018100.1,0.0387,0.3386,0.1144
11542,Thecc1EG037452t1,Gorai.001G018000.1,0.0173,0.3281,0.0528
11543,Thecc1EG037455t1,Gorai.009G038500.1,0.0568,0.44,0.1292
11544,Thecc1EG037456t1,Gorai.009G038400.1,0.0543,0.8045,0.0676
11545,Thecc1EG037458t1,Gorai.010G096000.1,0.0302,0.3328,0.0908
11546,Thecc1EG037459t1,Gorai.009G038200.1,0.0181,0.4219,0.0429
11547,Thecc1EG037461t1,Gorai.010G092400.1,0.0276,0.3183,0.0868
11548,Thecc1EG037462t1,Gorai.009G038100.1,0.0043,0.3196,0.0133
11549,Thecc1EG037463t1,Gorai.013G222300.1,0.0255,0.4359,0.0586
11550,Thecc1EG037465t1,Gorai.009G037900.1,0.0494,0.3769,0.1311
11551,Thecc1EG037468t1,Gorai.010G091800.1,0.0198,0.4493,0.044
11552,Thecc1EG037470t1,Gorai.010G091700.1,0.043,0.6188,0.0695
11553,Thecc1EG037473t1,Gorai.001G017400.1,0.0251,0.5653,0.0444
11554,Thecc1EG037474t1,Gorai.004G285500.1,0.0517,0.5025,0.1028
11555,Thecc1EG037475t1,Gorai.004G285400.1,0.0821,1.0319,0.0795
11556,Thecc1EG037476t1,Gorai.009G037500.1,0.04,0.5643,0.0708
11557,Thecc1EG037478t1,Gorai.009G037300.1,0.0362,0.536,0.0675
11558,Thecc1EG037479t1,Gorai.001G017100.1,0.0332,0.3409,0.0975
11559,Thecc1EG037480t1,Gorai.013G222600.1,0.0246,0.4585,0.0536
11560,Thecc1EG037483t1,Gorai.009G037200.1,0.0214,0.6015,0.0355
11561,Thecc1EG037484t1,Gorai.009G037100.1,0.022,0.2874,0.0767
11562,Thecc1EG037485t1,Gorai.001G016900.1,0.0265,0.551,0.0481
11563,Thecc1EG037486t1,Gorai.010G091100.1,0.0501,0.3926,0.1277
11564,Thecc1EG037487t1,Gorai.009G037000.1,0.0378,0.359,0.1054
11565,Thecc1EG037491t1,Gorai.010G090800.1,0.049,0.4517,0.1085
11566,Thecc1EG037495t1,Gorai.010G090600.1,0.0242,0.3575,0.0676
11567,Thecc1EG037496t1,Gorai.009G036700.1,0.0225,0.3231,0.0696
11568,Thecc1EG037497t1,Gorai.001G016400.1,0.0272,0.8914,0.0305
11569,Thecc1EG037498t1,Gorai.009G036600.1,0.0735,0.5971,0.1231
11570,Thecc1EG037501t1,Gorai.009G036500.1,0.0277,0.4714,0.0589
11571,Thecc1EG037503t1,Gorai.010G090000.1,0.0583,0.7278,0.0801
11572,Thecc1EG037504t1,Gorai.010G089900.1,0.0458,0.3619,0.1265
11573,Thecc1EG037505t1,Gorai.010G089800.1,0.06,0.3923,0.1531
11574,Thecc1EG037506t1,Gorai.001G015900.1,0.0465,0.4924,0.0944
11575,Thecc1EG037508t1,Gorai.013G223100.1,0.0268,0.4953,0.0542
11576,Thecc1EG037510t1,Gorai.013G223300.1,0.0697,0.7651,0.0911
11577,Thecc1EG037513t1,Gorai.013G223600.1,0.0468,0.7012,0.0668
11578,Thecc1EG037514t1,Gorai.010G089200.1,0.029,0.4967,0.0583
11579,Thecc1EG037515t1,Gorai.010G089100.1,0.0392,0.4079,0.0961
11580,Thecc1EG037517t1,Gorai.001G015700.1,0.038,0.813,0.0468
11581,Thecc1EG037518t1,Gorai.013G223900.1,0.0305,0.6277,0.0486
11582,Thecc1EG037519t1,Gorai.004G284800.1,0.0072,0.4428,0.0163
11583,Thecc1EG037521t1,Gorai.010G088700.1,0.0375,0.39,0.0961
11584,Thecc1EG037522t1,Gorai.009G036100.1,0.0263,0.4687,0.0562
11585,Thecc1EG037524t1,Gorai.013G224100.1,0.0304,0.5653,0.0538
11586,Thecc1EG037525t1,Gorai.009G035900.1,0.0497,0.4536,0.1096
11587,Thecc1EG037526t1,Gorai.013G224300.1,0.0231,0.3794,0.0609
11588,Thecc1EG037527t1,Gorai.010G088400.1,0.0274,0.3135,0.0875
11589,Thecc1EG037528t1,Gorai.009G035700.1,0.0565,0.5499,0.1028
11590,Thecc1EG037529t1,Gorai.013G224400.1,0.0835,1.5697,0.0532
11591,Thecc1EG037536t1,Gorai.010G088300.1,0.027,0.3188,0.0848
11592,Thecc1EG037537t1,Gorai.010G088200.1,0.0437,0.5072,0.0861
11593,Thecc1EG037538t1,Gorai.010G088100.1,0.0578,0.5241,0.1104
11594,Thecc1EG037539t1,Gorai.010G087800.1,0.0869,0.9792,0.0887
11595,Thecc1EG037540t1,Gorai.010G087900.1,0.1542,2.9658,0.052
11596,Thecc1EG037542t1,Gorai.010G087700.1,0.0502,0.5128,0.0979
11597,Thecc1EG037543t1,Gorai.013G225200.1,0.0309,0.3747,0.0826
11598,Thecc1EG037547t1,Gorai.009G035400.1,0.0201,0.3606,0.0556
11599,Thecc1EG037549t1,Gorai.009G035300.1,0.017,0.3144,0.054
11600,Thecc1EG037550t1,Gorai.009G035200.1,0.0181,0.3234,0.056
11601,Thecc1EG037551t1,Gorai.001G015300.1,0.0124,0.3881,0.032
11602,Thecc1EG037552t1,Gorai.013G225400.1,0.0242,0.5653,0.0429
11603,Thecc1EG037553t1,Gorai.009G035100.1,0.0437,0.3201,0.1364
11604,Thecc1EG037554t1,Gorai.009G035000.1,0.0516,0.4769,0.1082
11605,Thecc1EG037560t1,Gorai.001G015100.1,0.0531,0.5527,0.096
11606,Thecc1EG037561t1,Gorai.001G015000.1,0.0859,0.7645,0.1124
11607,Thecc1EG037567t1,Gorai.013G225700.1,0.0304,0.338,0.09
11608,Thecc1EG037568t1,Gorai.010G086800.1,0.0345,0.5247,0.0657
11609,Thecc1EG037571t1,Gorai.001G014400.1,0.0811,0.8269,0.0981
11610,Thecc1EG037572t1,Gorai.010G086600.1,0.0502,0.733,0.0684
11611,Thecc1EG037573t1,Gorai.010G086500.1,0.0219,0.3132,0.0699
11612,Thecc1EG037574t1,Gorai.010G086400.1,0.0235,0.3574,0.0659
11613,Thecc1EG037576t1,Gorai.013G226200.1,0.0583,0.6547,0.0891
11614,Thecc1EG037577t1,Gorai.013G226300.1,0.0231,0.3361,0.0687
11615,Thecc1EG037584t1,Gorai.009G034400.1,0.0426,0.3672,0.1161
11616,Thecc1EG037585t1,Gorai.013G226600.1,0.021,0.3949,0.0533
11617,Thecc1EG037586t1,Gorai.009G034300.1,0.012,0.2788,0.0429
11618,Thecc1EG037587t1,Gorai.009G034200.1,0.0112,0.4232,0.0265
11619,Thecc1EG037589t1,Gorai.010G085400.1,0.0164,0.2659,0.0618
11620,Thecc1EG037590t1,Gorai.009G034000.1,0.0412,0.5258,0.0783
11621,Thecc1EG037591t1,Gorai.001G013900.1,0.0527,0.564,0.0934
11622,Thecc1EG037594t1,Gorai.009G033900.1,0.0207,0.279,0.0741
11623,Thecc1EG037596t1,Gorai.009G033800.1,0.0166,0.2882,0.0575
11624,Thecc1EG037599t1,Gorai.001G013500.1,0.0574,0.806,0.0712
11625,Thecc1EG037600t1,Gorai.001G013400.1,0.0243,0.2744,0.0887
11626,Thecc1EG037602t1,Gorai.009G033500.1,0.0182,0.3235,0.0564
11627,Thecc1EG037604t1,Gorai.010G084800.1,0.059,0.3985,0.1481
11628,Thecc1EG037606t1,Gorai.010G084700.1,0.0394,0.3039,0.1298
11629,Thecc1EG037616t1,Gorai.009G033000.1,0.0512,0.3823,0.1338
11630,Thecc1EG037617t1,Gorai.009G032900.1,0.0189,0.3035,0.0623
11631,Thecc1EG037622t1,Gorai.010G084500.1,0.0113,0.3636,0.0311
11632,Thecc1EG037624t1,Gorai.001G013100.1,0.0413,0.3545,0.1164
11633,Thecc1EG037628t1,Gorai.009G032400.1,0.0373,0.4796,0.0777
11634,Thecc1EG037632t1,Gorai.001G012800.1,0.0207,0.9467,0.0218
11635,Thecc1EG037633t1,Gorai.004G284300.1,0.0328,0.8112,0.0405
11636,Thecc1EG037635t1,Gorai.009G032300.1,0.0436,0.5161,0.0845
11637,Thecc1EG037637t1,Gorai.010G084200.1,0.0293,0.3348,0.0874
11638,Thecc1EG037639t1,Gorai.009G032200.1,0.0681,0.5093,0.1337
11639,Thecc1EG037641t1,Gorai.009G032000.1,0.0238,0.4334,0.0549
11640,Thecc1EG037642t1,Gorai.013G227300.1,0.0225,0.4313,0.0522
11641,Thecc1EG037645t1,Gorai.001G012400.1,0.0609,0.6399,0.0952
11642,Thecc1EG046919t1,Gorai.009G031800.1,0.0319,0.5384,0.0592
11643,Thecc1EG037647t1,Gorai.010G083500.1,0.0448,0.4145,0.1081
11644,Thecc1EG037648t1,Gorai.001G012300.1,0.0407,0.5923,0.0687
11645,Thecc1EG037651t1,Gorai.001G012100.1,0.0776,1.1016,0.0705
11646,Thecc1EG037653t1,Gorai.010G083200.1,0.021,0.4136,0.0507
